q_id,statement,answer,audio
1,The course will cover topics from Galileo and Newton to relativity and quantum mechanics.,True,q_01.wav
2,The target audience for the course is limited to physics majors only.,False,q_02.wav
3,The lectures will be taped as part of an experimental pilot program funded by the Hewlett Foundation.,True,q_03.wav
4,The course will focus on the study of living objects and their properties.,False,q_04.wav
5,Kinematics is a branch of physics that deals with the reason behind why an object moves or changes its motion.,False,q_05.wav
6,The course will start with complex examples and gradually simplify them.,False,q_06.wav
7,"A mathematical point is a non-living, spatially extended object.",False,q_07.wav
8,The unit of time in the course will be measured in hours.,False,q_08.wav
9,Kinematics only deals with objects that have no spatial extent and move along a line.,True,q_09.wav
10,Units are not necessary when solving problems in kinematics.,False,q_10.wav
